city,node,vulnerability_score
Boston,61411869,1.2644693661051498
Boston,4867412481,1.0726409078119008
Boston,4937611279,0.8782068693350913
Boston,61349842,0.7973784802546626
Boston,61358326,0.7795737321709644
Boston,61348449,0.7701504597983265
Boston,61495489,0.7648484193361476
Boston,61404886,0.7504197952907312
Boston,4948049609,0.7281834184580225
Boston,61395131,0.7046628135281645
Boston,61371148,0.6983085265848904
Boston,61364622,0.6562501398562886
Boston,61400645,0.6513923828141983
Boston,61357889,0.6509169208366857
Boston,61349017,0.6332379650099618
Boston,61424057,0.6258498432257321
Boston,61357796,0.6232428264872426
Boston,61350131,0.61935862171573
Boston,61350512,0.6116781839774831
Boston,61357690,0.6092221237047627
Chicago,26792901,1.1419164420720684
Chicago,26792906,1.1192544769364243
Chicago,287238171,1.1131295696132624
Chicago,709393645,1.1021300497586175
Chicago,709393174,1.088605535970525
Chicago,287238679,1.0470286604001828
Chicago,1272698314,1.0257495111149384
Chicago,8229056277,0.8949965429950467
Chicago,12433192666,0.8870254423147694
Chicago,4854821665,0.8476550210469393
Chicago,287237906,0.8288890589088118
Chicago,287237987,0.8224287202985292
Chicago,347267029,0.7362405343159373
Chicago,1655451909,0.7357668825147191
Chicago,25779203,0.7324900934241689
Chicago,9271212123,0.730203982216828
Chicago,287236713,0.7291782499567575
Chicago,709360214,0.6969982626471272
Chicago,12103627423,0.6410151559332665
Chicago,349895352,0.6249363035696291
Dallas,1388359749,0.5832710029325946
Dallas,81579280,0.5706605531214404
Dallas,81621949,0.5577997159059008
Dallas,81602675,0.5411780335670665
Dallas,1060155178,0.5339995538578411
Dallas,1060154348,0.5307584337713243
Dallas,81541038,0.5206467542901052
Dallas,1060154292,0.5095513748144258
Dallas,81928386,0.4689500675729763
Dallas,81602856,0.45846304298930385
Dallas,81541904,0.45814027933375123
Dallas,81647815,0.44553727132881066
Dallas,81577528,0.4454789648017378
Dallas,81620437,0.4453434624434197
Dallas,81646407,0.44157285487941944
Dallas,81637787,0.43931772167480837
Dallas,81627859,0.4374999405885269
Dallas,81567140,0.43349426036163163
Dallas,81588691,0.43273503594036866
Dallas,81644705,0.4324682118754509
Phoenix,41592388,0.5722381521663952
Phoenix,256834607,0.5253799035678427
Phoenix,256833495,0.5253750484319659
Phoenix,256834608,0.5231956975390474
Phoenix,4520288626,0.5222332531857141
Phoenix,256898479,0.5208917421442394
Phoenix,256833492,0.5181488153398124
Phoenix,4425006530,0.5174920932827105
Phoenix,256833881,0.5161583976368233
Phoenix,256833877,0.5125301189885307
Phoenix,256908966,0.5050998919105482
Phoenix,256901477,0.5030310153989836
Phoenix,256833397,0.5022946452950641
Phoenix,256901943,0.5019696667090693
Phoenix,256833285,0.4997895006655595
Phoenix,256833096,0.4997214382365974
Phoenix,256833093,0.4994739511536408
Phoenix,256909443,0.49694155121501227
Phoenix,256909388,0.49684907326901945
Phoenix,256909082,0.4934649236309478
Pittsburgh,107642764,0.8367551071283363
Pittsburgh,684842314,0.7218941330183936
Pittsburgh,339256459,0.657060830846694
Pittsburgh,104844049,0.6229936952816146
Pittsburgh,271199778,0.622647159638572
Pittsburgh,104844038,0.6216014802921389
Pittsburgh,684667607,0.6198305583796482
Pittsburgh,684842312,0.6188668757741
Pittsburgh,684828130,0.6160304461862514
Pittsburgh,105036605,0.6087277033865364
Pittsburgh,3250543308,0.5820826459117696
Pittsburgh,1025849742,0.5793001884855498
Pittsburgh,684666821,0.5781582939710236
Pittsburgh,5317314131,0.5408757024750248
Pittsburgh,105233063,0.5282444026258929
Pittsburgh,105183104,0.5068685787141142
Pittsburgh,5320858691,0.49438465664584247
Pittsburgh,2610616292,0.48803328113991096
Pittsburgh,104353201,0.4879222267770303
Pittsburgh,339256049,0.4860301635428451
San Francisco,258768383,0.6402704444982522
San Francisco,267455452,0.6115024783004819
San Francisco,267455448,0.5972338331523023
San Francisco,65284677,0.5835418874965229
San Francisco,65371540,0.5455490130368592
San Francisco,729040229,0.5416597928515873
San Francisco,10824617369,0.5172309311527025
San Francisco,65297439,0.5070295784173523
San Francisco,6502711279,0.5033329601048433
San Francisco,315706810,0.49132423326115776
San Francisco,65280506,0.48590878018843525
San Francisco,764927041,0.4776778858722229
San Francisco,2315555430,0.4700789481850145
San Francisco,65331747,0.46575543552517246
San Francisco,65286844,0.44198894747737505
San Francisco,733619113,0.4419214423665414
San Francisco,65327904,0.4373114692306215
San Francisco,65292690,0.431622255755499
San Francisco,65318983,0.4280176423314461
San Francisco,65327903,0.425751626437896
